id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/146825,Fashion-MNIST,GAMA,2,0.412803,local,20.1.0,,stable,2020-06-25T01:13:08,2557.0,50,3729491546,,0.859857,,0.412803
openml.org/t/146825,Fashion-MNIST,GAMA,3,0.37301,local,20.1.0,,stable,2020-06-25T01:13:12,2568.7,50,3336856079,,0.876143,,0.37301
openml.org/t/146825,Fashion-MNIST,GAMA,4,0.414849,local,20.1.0,,stable,2020-06-25T01:14:11,2557.2,50,803006090,,0.856429,,0.414849
openml.org/t/146825,Fashion-MNIST,GAMA,5,0.383494,local,20.1.0,,stable,2020-06-25T01:13:38,2561.6,50,3317770020,,0.869429,,0.383494
openml.org/t/146825,Fashion-MNIST,GAMA,6,0.357554,local,20.1.0,,stable,2020-06-25T01:15:09,2573.3,50,2049786287,,0.884143,,0.357554
openml.org/t/146825,Fashion-MNIST,GAMA,7,0.398508,local,20.1.0,,stable,2020-06-25T01:14:40,2566.2,50,2329779537,,0.871,,0.398508
openml.org/t/146825,Fashion-MNIST,GAMA,8,0.386304,local,20.1.0,,stable,2020-06-25T01:15:10,2556.7,50,126478942,,0.868571,,0.386304
openml.org/t/146825,Fashion-MNIST,GAMA,9,0.391992,local,20.1.0,,stable,2020-06-25T01:13:56,2564.8,50,615261334,,0.860857,,0.391992
openml.org/t/168911,jasmine,GAMA,0,0.884653,local,20.1.0,,stable,2020-06-24T23:33:31,2530.4,50,2874014703,,0.822742,0.884653,0.388182
openml.org/t/168911,jasmine,GAMA,1,0.901119,local,20.1.0,,stable,2020-06-24T23:34:32,2533.8,50,3349075483,,0.826087,0.901119,0.38062
openml.org/t/168911,jasmine,GAMA,2,0.921119,local,20.1.0,,stable,2020-06-24T23:35:15,2533.2,50,2607602645,,0.849498,0.921119,0.333308
openml.org/t/168911,jasmine,GAMA,3,0.881655,local,20.1.0,,stable,2020-06-24T23:38:46,2530.4,50,2676674522,,0.852843,0.881655,0.37403
openml.org/t/168911,jasmine,GAMA,4,0.894104,local,20.1.0,,stable,2020-06-24T23:43:18,2530.4,50,2778285184,,0.808725,0.894104,0.407722
openml.org/t/168911,jasmine,GAMA,5,0.893879,local,20.1.0,,stable,2020-06-24T23:43:23,2530.7,50,2368226906,,0.825503,0.893879,0.385229
openml.org/t/168911,jasmine,GAMA,6,0.902392,local,20.1.0,,stable,2020-06-24T23:43:49,2534.0,50,1722585375,,0.83557,0.902392,0.378821
openml.org/t/168911,jasmine,GAMA,7,0.865006,local,20.1.0,,stable,2020-06-24T23:43:46,2530.2,50,3567346435,,0.815436,0.865006,0.416484
openml.org/t/168911,jasmine,GAMA,8,0.898113,local,20.1.0,,stable,2020-06-24T23:45:01,2530.9,50,1101103939,,0.848993,0.898113,0.375397
openml.org/t/168911,jasmine,GAMA,9,0.890591,local,20.1.0,,stable,2020-06-24T23:46:08,2534.7,50,1838985401,,0.822148,0.890591,0.375432
openml.org/t/3917,kc1,GAMA,0,0.857105,local,20.1.0,,stable,2020-06-24T23:46:00,2528.1,50,2156095174,,0.876777,0.857105,0.304957
openml.org/t/3917,kc1,GAMA,1,0.850908,local,20.1.0,,stable,2020-06-24T23:46:00,2528.5,50,3427736606,,0.886256,0.850908,0.335108
openml.org/t/3917,kc1,GAMA,2,0.874214,local,20.1.0,,stable,2020-06-24T23:46:27,2528.0,50,212188705,,0.867299,0.874214,0.291483
openml.org/t/3917,kc1,GAMA,3,0.85538,local,20.1.0,,stable,2020-06-24T23:46:40,2531.3,50,3896077060,,0.85782,0.85538,0.346132
openml.org/t/3917,kc1,GAMA,4,0.79571,local,20.1.0,,stable,2020-06-24T23:46:37,2528.5,50,2000722257,,0.843602,0.79571,0.402373
openml.org/t/3917,kc1,GAMA,5,0.842016,local,20.1.0,,stable,2020-06-24T23:46:47,2528.4,50,3650008988,,0.867299,0.842016,0.323986
openml.org/t/3917,kc1,GAMA,6,0.868744,local,20.1.0,,stable,2020-06-24T23:46:55,2528.6,50,2143333735,,0.876777,0.868744,0.334515
openml.org/t/3917,kc1,GAMA,7,0.862274,local,20.1.0,,stable,2020-06-24T23:47:04,2532.4,50,3299818032,,0.853081,0.862274,0.305023
openml.org/t/3917,kc1,GAMA,8,0.900238,local,20.1.0,,stable,2020-06-24T23:47:11,2528.8,50,3750564197,,0.886256,0.900238,0.280282
openml.org/t/3917,kc1,GAMA,9,0.806355,local,20.1.0,,stable,2020-06-24T23:47:17,2528.3,50,2640125905,,0.861905,0.806355,0.383235
openml.org/t/3,kr-vs-kp,GAMA,0,0.999883,local,20.1.0,,stable,2020-06-24T23:48:47,2527.4,50,294114254,,0.99375,0.999883,0.0177462
openml.org/t/3,kr-vs-kp,GAMA,1,0.999843,local,20.1.0,,stable,2020-06-24T23:50:20,2527.3,50,421908831,,0.984375,0.999843,0.0339294
openml.org/t/3,kr-vs-kp,GAMA,2,0.999139,local,20.1.0,,stable,2020-06-24T23:51:55,2527.8,50,2047415004,,0.990625,0.999139,0.0332073
openml.org/t/3,kr-vs-kp,GAMA,3,1.0,local,20.1.0,,stable,2020-06-24T23:52:12,2527.8,50,3218368529,,1.0,1.0,0.00430914
openml.org/t/3,kr-vs-kp,GAMA,4,1.0,local,20.1.0,,stable,2020-06-24T23:52:38,2528.0,50,361760512,,0.996875,1.0,0.00389405
openml.org/t/3,kr-vs-kp,GAMA,5,1.0,local,20.1.0,,stable,2020-06-24T23:52:44,2527.9,50,1787713834,,1.0,1.0,0.00113057
openml.org/t/3,kr-vs-kp,GAMA,6,0.999921,local,20.1.0,,stable,2020-06-24T23:57:20,2527.8,50,1584004440,,0.996865,0.999921,0.0143782
openml.org/t/3,kr-vs-kp,GAMA,7,0.99937,local,20.1.0,,stable,2020-06-24T23:57:30,2529.6,50,2644477079,,0.990596,0.99937,0.0348578
openml.org/t/3,kr-vs-kp,GAMA,8,1.0,local,20.1.0,,stable,2020-06-24T23:58:18,2527.6,50,1720682059,,1.0,1.0,0.00797799
openml.org/t/3,kr-vs-kp,GAMA,9,1.0,local,20.1.0,,stable,2020-06-24T23:58:19,2528.0,50,118309397,,1.0,1.0,0.00156555
openml.org/t/12,mfeat-factors,GAMA,0,0.0855792,local,20.1.0,,stable,2020-06-24T23:58:44,2550.6,50,1916711610,,0.97,,0.0855792
openml.org/t/12,mfeat-factors,GAMA,1,0.0639126,local,20.1.0,,stable,2020-06-24T23:58:33,2540.4,50,1715832549,,0.975,,0.0639126
openml.org/t/12,mfeat-factors,GAMA,2,0.07563,local,20.1.0,,stable,2020-06-25T00:00:55,2540.7,50,857333629,,0.98,,0.07563
openml.org/t/12,mfeat-factors,GAMA,3,0.120576,local,20.1.0,,stable,2020-06-25T00:06:14,2547.2,50,1662489351,,0.97,,0.120576
